paper,article_types,new_id,pm_central_id,abstract,value,hypothesis_sentence,hypothesis_entities,clean_hypothesis_entities,entity_1,entity_2,entity_3,entity_4,entity_5,entity_6,entity_7,entity_8,entity_9,entity_10,entity_11,entity_12,entity_13,entity_14,entity_15,entity_16,entity_17,entity_18,entity_19,entity_20,entity_21,entity_22,entity_23,entity_24,entity_25,entity_26,entity_27,entity_28,entity_29,entity_30,entity_31
http://ns.inria.fr/covid19/77eb2dc4442518f5757a339ddea166750afeafd1,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/77eb2dc4442518f5757a339ddea166750afeafd1#Hypothesis,,http://ns.inria.fr/covid19/77eb2dc4442518f5757a339ddea166750afeafd1#abstract,"Summary The network theory of autoimmunity is presented with recent experimental data relevant to the understanding of the pathogenesis of AIDS. Schematically, effector T cells specific for self-antigens exist normally, but their activity is modulated and prevented by networks of regulatory T cells. As a result of mimicry between molecular components of microorganisms and self-antigens, autoimmune disease can be triggered by specific foreign pathogens which alter the state of activity of the network from suppression to activation. Conversely, by a procedure known as T-cell vaccination, autologous effector T cells re-injected after in vitro stimulation and attenuation may alter the state of the network from an activation to a suppression. Numerous observations are reviewed that support the concept of autoimmune activity in the destruction of non-infected T4 cells. Such activity is presumed to be triggered by an antigen of viral origin, the most likely, but not the only one, being the envelope protein gp120. Based on this hypothesis, a T-cell vaccination procedure against effector T cells responsible for autoimmunopathic activity in HIV-seropositive patients is proposed, similar to the one known from experimental study of autoimmunity and presently being tested in human autoimmune diseases. Its purpose would be to prevent T-cell loss and the onset of immunodeficiency disease in HIV-seropositive patients. Apart from its potential therapeutic value, this procedure will have use as a therapeutic test from which insight will be gained about the immunopathogenesis of AIDS.","Based on this hypothesis, a T-cell vaccination procedure against effector T cells responsible for autoimmunopathic activity in HIV-seropositive patients is proposed, similar to the one known from experimental study of autoimmunity and presently being tested in human autoimmune diseases.","['this_hypothesis', 'effector_T_cells', 'autoimmunopathic_activity', 'HIV-seropositive_patients', 'the_one', 'experimental_study', 'autoimmunity', 'human_autoimmune_diseases']","['this hypothesis', 'effector T cells', 'autoimmunopathic activity', 'HIV-seropositive patients', 'the one', 'experimental study', 'autoimmunity', 'human autoimmune diseases']",this hypothesis,effector T cells,autoimmunopathic activity,HIV-seropositive patients,the one,experimental study,autoimmunity,human autoimmune diseases,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/180c88b68816bbb6eb57aa515a3aec4020178729,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/180c88b68816bbb6eb57aa515a3aec4020178729#Hypothesis,,http://ns.inria.fr/covid19/180c88b68816bbb6eb57aa515a3aec4020178729#abstract,"AbstractE-probe Diagnostic for Nucleic acid Analysis (EDNA) is a bioinformatic tool originally developed to detect plant pathogens in metagenomic databases. However, enhancements made to EDNA increased its capacity to conduct hypothesis directed detection of specific gene targets present in transcriptomic databases. To target specific pathogenicity factors used by the pathogen to infect its host or other targets of interest, e-probes need to be developed for transcripts related to that function. In this study, EDNA transcriptomics (EDNAtran) was developed to detect the expression of genes related to aflatoxin production at the transcriptomic level. E-probes were designed from genes up-regulated during A. flavus aflatoxin production. EDNAtran detected gene transcripts related to aflatoxin production in a transcriptomic database from corn, where aflatoxin was produced. The results were significantly different from e-probes being used in the transcriptomic database where aflatoxin was not produced (atoxigenic AF36 strain and toxigenic AF70 in Potato Dextrose Broth).","However, enhancements made to EDNA increased its capacity to conduct hypothesis directed detection of specific gene targets present in transcriptomic databases.","['However , enhancements', 'EDNA', 'increased its_capacity', 'hypothesis_directed_detection of specific_gene_targets', 'transcriptomic_databases']","['However , enhancements', 'EDNA', 'increased its capacity', 'hypothesis directed detection of specific gene targets', 'transcriptomic databases']","However , enhancements",EDNA,increased its capacity,hypothesis directed detection of specific gene targets,transcriptomic databases,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/319c4a09c5862d35692cefb387171c88e23d36c8,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/319c4a09c5862d35692cefb387171c88e23d36c8#Hypothesis,,http://ns.inria.fr/covid19/319c4a09c5862d35692cefb387171c88e23d36c8#abstract,"Abstract. The nasal decongestant oxymetazoline (OMZ) exhibits anti-oxidative and antiinflammatory properties (I. Beck-Speier et al., J Pharmacol Exp Ther. 2006;316:842–851). In a follow up study, we hypothesized that OMZ generates pro-resolving lipoxins being paralleled by production of immune-modulating prostaglandin E2 (PGE2) and anti-inflammatory 15(S)-hydroxy-eicosatetraenoic acid [15(S)-HETE] and depletion of pro-inflammatory leukotriene B4 (LTB4). Human neutrophils (PMN) were chosen as the cellular system. The effect of OMZ on these parameters as well as on respiratory burst activity and oxidative stress marker 8-isprostane was analyzed in unstimulated and co-stimulated PMN by ultrafine carbon particles (UCP) or opsonized zymosan (OZ), respectively. In unstimulated cells, OMZ induced formation of PGE2, 15(S)-HETE, and LXA4. The levels of LTB4 and 8-isoprostane were not affected, whereas respiratory burst activity was drastically inhibited. In UCP- and OZ-stimulated control cells, all parameters were elevated. Here, OMZ maintained the increased levels of PGE2, 15(S)-HETE, and LXA4, but substantially suppressed levels of LTB4 and 8-isoprostane and inhibited the respiratory burst activity. These findings suggest a switch from the pro-inflammatory eicosanoid class LTB4 to the pro-resolving LXA4. Since LXA4 is most relevant in returning inflamed tissue to homeostasis, OMZ is postulated to terminate rhinitis-related inflammation, thus contributing to shortening of disease duration.","In a follow up study, we hypothesized that OMZ generates pro-resolving lipoxins being paralleled by production of immune-modulating prostaglandin E2 (PGE2) and anti-inflammatory 15(S)-hydroxy-eicosatetraenoic acid [15(S)-HETE] and depletion of pro-inflammatory leukotriene B4 (LTB4).","['OMZ', 'pro-resolving_lipoxins', 'production', 'immune-modulating_prostaglandin_E2', '( PGE2', 'anti-inflammatory_15(S)-hydroxy-eicosatetraenoic_acid_[15(S)-HETE', 'depletion', 'pro-inflammatory_leukotriene_B4', '( LTB4']","['OMZ', 'pro-resolving lipoxins', 'production', 'immune-modulating prostaglandin E2', '( PGE2', 'anti-inflammatory 15(S)-hydroxy-eicosatetraenoic acid [15(S)-HETE', 'depletion', 'pro-inflammatory leukotriene B4', '( LTB4']",OMZ,pro-resolving lipoxins,production,immune-modulating prostaglandin E2,( PGE2,anti-inflammatory 15(S)-hydroxy-eicosatetraenoic acid [15(S)-HETE,depletion,pro-inflammatory leukotriene B4,( LTB4,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/6c40c8719f31e55314ed677d659a5a70915636c9,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC3159512#Hypothesis,PMC3159512,http://ns.inria.fr/covid19/6c40c8719f31e55314ed677d659a5a70915636c9#abstract,"Proteases are candidate biomarkers and therapeutic targets for many diseases. Sensitive and robust techniques are needed to quantify proteolytic activities within the complex biological milieu. We hypothesized that a combinatorial protease substrate library could be used effectively to identify similarities and differences between serum and bronchoalveolar lavage fluid (BALF), two body fluids that are clinically important for developing targeted therapies and diagnostics. We used a concise library of fluorogenic probes to map the protease substrate specificities of serum and BALF from guinea pigs. Differences in the proteolytic fingerprints of the two fluids were striking: serum proteases cleaved substrates containing cationic residues and proline, whereas BALF proteases cleaved substrates containing aliphatic and aromatic residues. Notably, cleavage of proline-containing substrates dominated all other protease activities in both human and guinea pig serum. This substrate profiling approach provides a foundation for quantitative comparisons of protease specificities between complex biological samples.","We hypothesized that a combinatorial protease substrate library could be used effectively to identify similarities and differences between serum and bronchoalveolar lavage fluid (BALF), two body fluids that are clinically important for developing targeted therapies and diagnostics.","['a_combinatorial_protease_substrate_library', 'similarities', 'differences', 'serum', 'bronchoalveolar_lavage_fluid ( BALF', 'body', 'fluids', 'targeted_therapies', 'diagnostics']","['a combinatorial protease substrate library', 'similarities', 'differences', 'serum', 'bronchoalveolar lavage fluid ( BALF', 'body', 'fluids', 'targeted therapies', 'diagnostics']",a combinatorial protease substrate library,similarities,differences,serum,bronchoalveolar lavage fluid ( BALF,body,fluids,targeted therapies,diagnostics,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/bb5d7caba7ff8afec3c1fde62cadf65db745ce35,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC6116215#Hypothesis,PMC6116215,http://ns.inria.fr/covid19/bb5d7caba7ff8afec3c1fde62cadf65db745ce35#abstract,"A disease with a sudden drop in egg production and shell-less eggs called, shell-less egg syndrome (SES) has been observed in Western Canada egg layer flocks since 2010. The etiology of this disease is not known. We hypothesize that SES is caused by an infectious bronchitis virus (IBV) strain since it is known that IBV replicates in the shell gland causing various eggshell abnormalities. In this study, we screened egg layer flocks, in the provinces of Alberta (AB) and Saskatchewan (SK), with and without a history of SES for the presence of IBV infection. During 2015–2016, a total of 27 egg layer flocks were screened in AB (n = 7) and SK (n = 20). Eighty-one percent of the screened flocks (n = 22) were positive for IBV infection. Thirty of these isolates were successfully characterized using molecular tools targeting the most variable spike (S) 1 gene. IBV isolates from this study clustered into three genotypes based on partial S1 gene variability. The majority of the IBV isolates (70%) were Massachusetts (Mass) type, and the rest were either Connecticut (Conn) type or an uncharacterized genotype with genetic characteristics of Mass and Conn types. Since the majority of the IBV isolates included within the Mass type, we used a Mass type IBV isolate to reproduce SES in specific pathogen free (SPF) white leghorn chickens in lay. Further studies are warranted to investigate whether other IBV isolates can cause SES, to clarify the pathogenesis of SES and to develop a vaccine in order to prevent SES as observed in Western Canadian layer flocks.",We hypothesize that SES is caused by an infectious bronchitis virus (IBV) strain since it is known that IBV replicates in the shell gland causing various eggshell abnormalities.,"['SES', 'bronchitis', 'virus', 'IBV', 'IBV', 'the_shell_gland', 'various_eggshell_abnormalities']","['SES', 'bronchitis', 'virus', 'IBV', 'IBV', 'the shell gland', 'various eggshell abnormalities']",SES,bronchitis,virus,IBV,IBV,the shell gland,various eggshell abnormalities,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/23f10167dd68611be607ecc419e335898b37bbc9,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/23f10167dd68611be607ecc419e335898b37bbc9#Hypothesis,,http://ns.inria.fr/covid19/23f10167dd68611be607ecc419e335898b37bbc9#abstract,"Summary Current explanations to the high 1918–1919 mortality involve either a higher pathogenicity of the virus or bacterial super-infection in the absence of adequate therapeutic resources. However, neither of these hypotheses accounts for the age-distribution of severe cases and deaths, or for the geographic and other variations in rates and explosiveness of mortality during the Pandemic. It will be shown here that, alternatively, the epidemiology of the influenza lethality could be completely explained by a combination of two determinants: (1) acquired immune-differentiation of birth-cohorts, within populations, through developmental epigenetic adaptation (and selection) secondary to maternal or early-life episodes of influenza infection and (2) a triggering context – emergence of a new sub-type/strain, and its co-circulation (competition?) with seasonal viruses immunologically related to ones that had circulated in the past and primed particular population birth-cohorts. This article (1) presents age, geographic, and temporal variations in 1918–1919 and 2009 influenza severity, (2) presents and discusses ecologic evidence in favor of the hypothesis to influenza lethality advanced here, (3) suggests biologic mechanisms capable of explaining it, (4) retrospectively, proposes co-circulation between the Pandemic and a 1918 seasonal (H3?) influenza virus as the context for the increased lethality during the second wave of the 1918 Pandemic, and (5) predicts an increase in influenza severity in the northern hemisphere as the 2009–2010 season advances and H3 circulation increases.","However, neither of these hypotheses accounts for the age-distribution of severe cases and deaths, or for the geographic and other variations in rates and explosiveness of mortality during the Pandemic.","['these_hypotheses', 'accounts', 'the_age-distribution', 'severe_cases', 'deaths', 'the_geographic_and_other_variations', 'rates', 'explosiveness', 'mortality', 'the_Pandemic']","['these hypotheses', 'accounts', 'the age-distribution', 'severe cases', 'deaths', 'the geographic and other variations', 'rates', 'explosiveness', 'mortality', 'the Pandemic']",these hypotheses,accounts,the age-distribution,severe cases,deaths,the geographic and other variations,rates,explosiveness,mortality,the Pandemic,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/3ff48e99f52808b9176b3de727b91ce40d1aefdb,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC7095087#Hypothesis,PMC7095087,http://ns.inria.fr/covid19/3ff48e99f52808b9176b3de727b91ce40d1aefdb#abstract,"Human herpesvirus 6 (HHV-6) is a ubiquitous β-herpesvirus associated with a number of clinical disorders. Two closely but biologically distinct variants have been described. HHV-6 variant B causes the common childhood disease exhanthem subitum, and although the pathologic characteristics for HHV-6 variant A are less well defined, HHV-6A has been suggested to be more neurotropic. We studied the effect of both HHV-6 variants in an oligodendrocyte cell line (MO3.13). Infection of M03.13 was monitored by cytopathic effect (CPE), quantitative TaqMan PCR for viral DNA in cells and supernatant, reverse transcriptase-polymerase chain reaction (RT-PCR) to detect viral RNA, and indirect immunofluorescence (IFA) to detect viral protein expression. HHV-6A infection induced significantly more CPE than infection with HHV-6B. HHV-6B induced an abortive infection associated with a decrease of the initial viral DNA load over time, early RNA expression, and no expression of viral antigen. In contrast, infection with HHV-6A DNA persisted in cells for at least 62 days. During the acute phase of infection with HHV-6A, intracellular and extracellular viral load increased and cells expressed the viral protein IE-2 and gp116/54/64. No HHV-6A RNA or protein was expressed after 30 days post infection, suggesting that HHV-6A formed a latent infection. These studies provide in vitro support to the hypothesis that HHV-6 can actively infect oligodendrocytes. Our results suggest that HHV-6A and HHV-6B have different tropism in MO3.13 cells and that an initially active HHV-6A infection can develop latency. Differences between HHV-6A and -6B infection in different neural cell types may be associated with different neurological diseases.",These studies provide in vitro support to the hypothesis that HHV-6 can actively infect oligodendrocytes.,"['These_studies', 'vitro_support', 'the_hypothesis', 'HHV-6', 'oligodendrocytes']","['These studies', 'vitro support', 'the hypothesis', 'HHV-6', 'oligodendrocytes']",These studies,vitro support,the hypothesis,HHV-6,oligodendrocytes,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/d2616cd5feadf2f63508144580ce2b9e172decf5,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/d2616cd5feadf2f63508144580ce2b9e172decf5#Hypothesis,,http://ns.inria.fr/covid19/d2616cd5feadf2f63508144580ce2b9e172decf5#abstract,"This study tests the hypothesis that activation of mitogen-activated protein kinase (MAPK) by physiologically-relevant concentrations of interleukin-33 (IL-33) contributes to enhanced cytokine expression by IL-12 stimulated human natural killer (NK) cells. While IL-33 canonically triggers type 2 cytokine responses, this cytokine can also synergize with type 1 cytokines like IL-12 to provoke interferon-gamma (IFN-γ). We show that picogram concentrations of IL-12 and IL-33 are sufficient to promote robust secretion of IFN-γ by human NK cells that greatly exceeds responses to either cytokine alone. Nanogram doses of IL-33, potentially consistent with levels in tissue microenvironments, synergize with IL-12 to induce secretion of additional cytokines, including tumor necrosis factor (TNF) and granulocyte-macrophage colony-stimulating factor (GM-CSF). IL-33-induced activation of the p38 MAPK pathway in human NK cells is crucial for enhanced release of IFN-γ and TNF in response to IL-12. Mechanistically, IL-33-induced p38 MAPK signaling enhances stability of IFNG transcripts and triggers ADAM17-mediated cleavage of TNF from the cell surface. These data support our hypothesis and suggest that altered sensitivity of NK cells to IL-12 in the presence of IL-33 may have important consequences in diseases associated with mixed cytokine milieus, like asthma and chronic obstructive pulmonary disease.Graphical Abstract",This study tests the hypothesis that activation of mitogen-activated protein kinase (MAPK) by physiologically-relevant concentrations of interleukin-33 (IL-33) contributes to enhanced cytokine expression by IL-12 stimulated human natural killer (NK) cells.,"['This_study tests', 'that activation', 'mitogen-activated_protein_kinase (MAPK', 'physiologically-relevant_concentrations', 'IL-33', 'cytokine_expression', 'IL-12', 'stimulated_human_natural_killer', '(NK)_cells']","['This study tests', 'that activation', 'mitogen-activated protein kinase (MAPK', 'physiologically-relevant concentrations', 'IL-33', 'cytokine expression', 'IL-12', 'stimulated human natural killer', '(NK) cells']",This study tests,that activation,mitogen-activated protein kinase (MAPK,physiologically-relevant concentrations,IL-33,cytokine expression,IL-12,stimulated human natural killer,(NK) cells,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/95d9ae0fa18efba00a3585fe7ded2fb087fea468,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC7094722#Hypothesis,PMC7094722,http://ns.inria.fr/covid19/95d9ae0fa18efba00a3585fe7ded2fb087fea468#abstract,"The polyoma BK virus (BKV) remains latent after primary infection and may reactivate during immunosuppression. The uroepithelium is the main latency site defined. This study addressed whether the gastrointestinal tract might be another latency site. To test this hypothesis, we prospectively quantified fecal BKV by quantitative PCR reaction in 40 patients undergoing hematopoietic SCT (HSCT). Urinary BKV was similarly quantified. Fecal BKV excretion was positive in 16/40 patients, of whom 10 were transient (<3 consecutively positive samples), six were persistent (⩾3 consecutively positive samples) and three were persistent with peaking (⩾10(3)-fold increase in viral load over baseline, reaching 5.11 × 10(6), 4.68 × 10(7) and 2.75 × 10(8) copies/sample at 14, 14 and 21 days post-HSCT, respectively). Urinary BKV excretion was positive in 25/40 patients. Fecal BKV excretion was significantly correlated with that of the urine (P=0.036) and was significantly associated with allogeneic HSCT (P=0.037) and persistent and peaking of urinary BKV excretion (P<0.001). Binary logistic regression showed that BKV viruria was the only significant risk factor for fecal BKV excretion (P=0.021). Fecal BKV excretion occurred in 40% patients undergoing HSCT, implicating the gastrointestinal tract as a BKV latency site.","To test this hypothesis, we prospectively quantified fecal BKV by quantitative PCR reaction in 40 patients undergoing hematopoietic SCT (HSCT).","['this_hypothesis', 'quantitative_PCR_reaction', 'hematopoietic_SCT ( HSCT']","['this hypothesis', 'quantitative PCR reaction', 'hematopoietic SCT ( HSCT']",this hypothesis,quantitative PCR reaction,hematopoietic SCT ( HSCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/8e631c0c0bdbb5cf13818b5b71d39c145b045955,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC5371896#Hypothesis,PMC5371896,http://ns.inria.fr/covid19/8e631c0c0bdbb5cf13818b5b71d39c145b045955#abstract,"Coronaviruses (CoV) comprise a large group of emerging human and animal pathogens, including the highly pathogenic severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV) strains. The molecular mechanisms regulating emerging coronavirus pathogenesis are complex and include virus–host interactions associated with entry, replication, egress and innate immune control. Epigenetics research investigates the genetic and non-genetic factors that regulate phenotypic variation, usually caused by external and environmental factors that alter host expression patterns and performance without any change in the underlying genotype. Epigenetic modifications, such as histone modifications, DNA methylation, chromatin remodeling, and non-coding RNAs, function as important regulators that remodel host chromatin, altering host expression patterns and networks in a highly flexible manner. For most of the past two and a half decades, research has focused on the molecular mechanisms by which RNA viruses antagonize the signaling and sensing components that regulate induction of the host innate immune and antiviral defense programs upon infection. More recently, a growing body of evidence supports the hypothesis that viruses, even lytic RNA viruses that replicate in the cytoplasm, have developed intricate, highly evolved, and well-coordinated processes that are designed to regulate the host epigenome, and control host innate immune antiviral defense processes, thereby promoting robust virus replication and pathogenesis. In this article, we discuss the strategies that are used to evaluate the mechanisms by which viruses regulate the host epigenome, especially focusing on highly pathogenic respiratory RNA virus infections as a model. By combining measures of epigenome reorganization with RNA and proteomic datasets, we articulate a spatial-temporal data integration approach to identify regulatory genomic clusters and regions that play a crucial role in the host’s innate immune response, thereby defining a new viral antagonism mechanism following emerging coronavirus infection.","More recently, a growing body of evidence supports the hypothesis that viruses, even lytic RNA viruses that replicate in the cytoplasm, have developed intricate, highly evolved, and well-coordinated processes that are designed to regulate the host epigenome, and control host innate immune antiviral defense processes, thereby promoting robust virus replication and pathogenesis.","['evidence', 'the_hypothesis', 'that viruses , even lytic RNA viruses', 'the_cytoplasm', 'intricate,_highly_evolved,_and_well-coordinated_processes', 'the_host_epigenome', 'control', 'host_innate_immune_antiviral_defense_processes', 'robust_virus_replication', 'pathogenesis']","['evidence', 'the hypothesis', 'that viruses , even lytic RNA viruses', 'the cytoplasm', 'intricate, highly evolved, and well-coordinated processes', 'the host epigenome', 'control', 'host innate immune antiviral defense processes', 'robust virus replication', 'pathogenesis']",evidence,the hypothesis,"that viruses , even lytic RNA viruses",the cytoplasm,"intricate, highly evolved, and well-coordinated processes",the host epigenome,control,host innate immune antiviral defense processes,robust virus replication,pathogenesis,,,,,,,,,,,,,,,,,,,,,
