"subject","predicate","object","graph"
"b12_b3235999","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3235999","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3319407",""
"b12_b3236000","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236000","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3320298",""
"b12_b3236001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236001","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3320314",""
"b12_b3236002","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236002","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3320324",""
"b12_b3236003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236003","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3320327",""
"b12_b3236004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236004","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3320396",""
"b12_b3236005","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236005","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3320416",""
"b12_b3236006","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236006","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3320938",""
"b12_b3236007","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236007","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3322916",""
"b12_b3236008","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236008","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3323071",""
"b12_b3236009","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236009","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3323277",""
"b12_b3236010","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236010","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3323316",""
"b12_b3236011","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236011","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3323794",""
"b12_b3236012","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236012","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3324022",""
"b12_b3236013","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236013","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3324800",""
"b12_b3236014","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236014","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3324879",""
"b12_b3236015","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236015","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3324909",""
"b12_b3236016","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236016","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3325679",""
"b12_b3236017","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236017","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3326453",""
"b12_b3236018","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236018","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC332692",""
